2022/09/06-00:55:04 - ML.py - run_animation_ca - DEBUG - Initial:
_____________________________________________________________________
|   Car    |   Lane   |   Position   |   Velocity   |   Max Speed   |
|    93    |      3   |   30.00000   |   0.000000   |   2.0000000   |
|    94    |      1   |   31.00000   |   0.000000   |   2.0000000   |
|    95    |      2   |   31.00000   |   0.000000   |   2.0000000   |
|    96    |      3   |   31.00000   |   0.000000   |   2.0000000   |
|    97    |      1   |   32.00000   |   0.000000   |   2.0000000   |
|    98    |      2   |   32.00000   |   0.000000   |   2.0000000   |
|    99    |      3   |   32.00000   |   0.000000   |   2.0000000   |
|   100    |      1   |   33.00000   |   0.000000   |   2.0000000   |
|   101    |      2   |   33.00000   |   0.000000   |   2.0000000   |
|   102    |      3   |   33.00000   |   0.000000   |   2.0000000   |
|   103    |      1   |   34.00000   |   0.000000   |   2.0000000   |
|   104    |      2   |   34.00000   |   0.000000   |   2.0000000   |
|   105    |      3   |   34.00000   |   0.000000   |   2.0000000   |
|   106    |      1   |   35.00000   |   0.000000   |   2.0000000   |
|   107    |      2   |   35.00000   |   0.000000   |   2.0000000   |
|   108    |      3   |   35.00000   |   0.000000   |   2.0000000   |
|   109    |      1   |   36.00000   |   0.000000   |   2.0000000   |
|   110    |      2   |   36.00000   |   0.000000   |   2.0000000   |
|   111    |      3   |   36.00000   |   0.000000   |   2.0000000   |
|   112    |      1   |   37.00000   |   0.000000   |   2.0000000   |
|   113    |      2   |   37.00000   |   0.000000   |   2.0000000   |
|   114    |      3   |   37.00000   |   0.000000   |   2.0000000   |
|   115    |      1   |   38.00000   |   0.000000   |   2.0000000   |
|   116    |      2   |   38.00000   |   0.000000   |   2.0000000   |
|   117    |      3   |   38.00000   |   0.000000   |   2.0000000   |
|   118    |      1   |   39.00000   |   0.000000   |   2.0000000   |
|   119    |      2   |   39.00000   |   0.000000   |   2.0000000   |
|   120    |      3   |   39.00000   |   0.000000   |   2.0000000   |
|   121    |      1   |   40.00000   |   0.000000   |   2.0000000   |
|   122    |      2   |   40.00000   |   0.000000   |   2.0000000   |
|   123    |      3   |   40.00000   |   0.000000   |   2.0000000   |
|   124    |      1   |   41.00000   |   0.000000   |   2.0000000   |
|   125    |      2   |   41.00000   |   0.000000   |   2.0000000   |
|   126    |      3   |   41.00000   |   0.000000   |   2.0000000   |
|   127    |      1   |   42.00000   |   0.000000   |   2.0000000   |
|   128    |      2   |   42.00000   |   0.000000   |   2.0000000   |
|   129    |      3   |   42.00000   |   0.000000   |   2.0000000   |
|   130    |      1   |   43.00000   |   0.000000   |   2.0000000   |
|   131    |      2   |   43.00000   |   0.000000   |   2.0000000   |
|   132    |      3   |   43.00000   |   0.000000   |   2.0000000   |
|   133    |      1   |   44.00000   |   0.000000   |   2.0000000   |
|   134    |      2   |   44.00000   |   0.000000   |   2.0000000   |
|   135    |      3   |   44.00000   |   0.000000   |   2.0000000   |
|   136    |      1   |   45.00000   |   0.000000   |   2.0000000   |
|   137    |      2   |   45.00000   |   0.000000   |   2.0000000   |
|   138    |      3   |   45.00000   |   0.000000   |   2.0000000   |
|   139    |      1   |   46.00000   |   0.000000   |   2.0000000   |
|   140    |      2   |   46.00000   |   0.000000   |   2.0000000   |
|   141    |      3   |   46.00000   |   0.000000   |   2.0000000   |
|   142    |      1   |   47.00000   |   0.000000   |   2.0000000   |
|   143    |      2   |   47.00000   |   0.000000   |   2.0000000   |
|   144    |      3   |   47.00000   |   0.000000   |   2.0000000   |
|   145    |      1   |   48.00000   |   0.000000   |   2.0000000   |
|   146    |      2   |   48.00000   |   0.000000   |   2.0000000   |
|   147    |      3   |   48.00000   |   0.000000   |   2.0000000   |
|   148    |      1   |   49.00000   |   0.000000   |   2.0000000   |
|   149    |      2   |   49.00000   |   0.000000   |   2.0000000   |
|   150    |      3   |   49.00000   |   0.000000   |   2.0000000   |
|   151    |      1   |   50.00000   |   0.000000   |   2.0000000   |
|   152    |      2   |   50.00000   |   0.000000   |   2.0000000   |
|   153    |      3   |   50.00000   |   0.000000   |   2.0000000   |
|   154    |      1   |   51.00000   |   0.000000   |   2.0000000   |
